English VP,Japanese VP
will not be talking,はなしていない (hanashiteinai)
have talked,はなした (hanashita)
had talked,はなした (hanashita)
will have talked,はなす (hanasu)
have not talked,はなさなかった (hanasanakatta)
had not talked,はなさなかった (hanasanakatta)
will have not talked,はなさない (hanasanai)
have being talking,はなしている (hanashiteiru)
had been talking,はなしていた (hanashiteita)
will have been talking,はなしている (hanashiteiru)
have not being talking,はなしていない (hanashiteinai)
had not been talking,はなしていなかった (hanashiteinakatta)
will have not been talking,はなしていない (hanashiteinai)
speak,はなす (hanasu)
spoke,はなした (hanashita)
will speak,はなす (hanasu)
doesn't speak,はなさない (hanasanai)
didn't speak,はなさなかった (hanasanakatta)
won't speak,はなさない (hanasanai)
speaking,はなしている (hanashiteiru)
was speaking,はなしていた (hanashiteita)
will be speaking,はなしている (hanashiteiru)
not speaking,はなしていない (hanashiteinai)
was not speaking,はなしていなかった (hanashiteinakatta)
will not be speaking,はなしていない (hanashiteinai)
have spoke,はなした (hanashita)
had spoke,はなした (hanashita)
will have spoke,はなす (hanasu)
have not spoke,はなさなかった (hanasanakatta)
had not spoke,はなさなかった (hanasanakatta)
will have not spoke,はなさない (hanasanai)
have being speaking,はなしている (hanashiteiru)
had been speaking,はなしていた (hanashiteita)
will have been speaking,はなしている (hanashiteiru)
have not being speaking,はなしていない (hanashiteinai)
had not been speaking,はなしていなかった (hanashiteinakatta)
will have not been speaking,はなしていない (hanashiteinai)
turn,まがる (magaru)
turned,まがった (magatta)
will turn,まがる (magaru)
doesn't turn,まがらない (magaranai)
didn't turn,まがらなかった (magaranakatta)
won't turn,まがらない (magaranai)
turning,まがっている (magatteiru)
was turning,まがっていた (magatteita)
will be turning,まがっている (magatteiru)
not turning,まがっていない (magatteinai)
was not turning,まがっていなかった (magatteinakatta)
will not be turning,まがっていない (magatteinai)
have turned,まがった (magatta)
had turned,まがった (magatta)
will have turned,まがる (magaru)
have not turned,まがらなかった (magaranakatta)
had not turned,まがらなかった (magaranakatta)
will have not turned,まがらない (magaranai)
have being turning,まがっている (magatteiru)
had been turning,まがっていた (magatteita)
will have been turning,まがっている (magatteiru)
have not being turning,まがっていない (magatteinai)
had not been turning,まがっていなかった (magatteinakatta)
will have not been turning,まがっていない (magatteinai)
stop,とまる (tomaru)
stoped,とまった (tomatta)
will stop,とまる (tomaru)
doesn't stop,とまらない (tomaranai)
didn't stop,とまらなかった (tomaranakatta)
won't stop,とまらない (tomaranai)
stoping,とまっている (tomatteiru)
was stoping,とまっていた (tomatteita)
will be stoping,とまっている (tomatteiru)
not stoping,とまっていない (tomatteinai)
was not stoping,とまっていなかった (tomatteinakatta)
will not be stoping,とまっていない (tomatteinai)
have stoped,とまった (tomatta)
had stoped,とまった (tomatta)
will have stoped,とまる (tomaru)
have not stoped,とまらなかった (tomaranakatta)
had not stoped,とまらなかった (tomaranakatta)
will have not stoped,とまらない (tomaranai)
have being stoping,とまっている (tomatteiru)
had been stoping,とまっていた (tomatteita)
will have been stoping,とまっている (tomatteiru)
have not being stoping,とまっていない (tomatteinai)
had not been stoping,とまっていなかった (tomatteinakatta)
will have not been stoping,とまっていない (tomatteinai)
stay,とまる (tomaru)
staied,とまった (tomatta)
will stay,とまる (tomaru)
doesn't stay,とまらない (tomaranai)
didn't stay,とまらなかった (tomaranakatta)
won't stay,とまらない (tomaranai)
staying,とまっている (tomatteiru)
was staying,とまっていた (tomatteita)
will be staying,とまっている (tomatteiru)
not staying,とまっていない (tomatteinai)
was not staying,とまっていなかった (tomatteinakatta)
will not be staying,とまっていない (tomatteinai)
have staied,とまった (tomatta)
had staied,とまった (tomatta)
will have staied,とまる (tomaru)
have not staied,とまらなかった (tomaranakatta)
had not staied,とまらなかった (tomaranakatta)
will have not staied,とまらない (tomaranai)
have being staying,とまっている (tomatteiru)
had been staying,とまっていた (tomatteita)
will have been staying,とまっている (tomatteiru)
have not being staying,とまっていない (tomatteinai)
had not been staying,とまっていなかった (tomatteinakatta)
will have not been staying,とまっていない (tomatteinai)
sit,すわる (suwaru)
sat,すわった (suwatta)
will sit,すわる (suwaru)
doesn't sit,すわらない (suwaranai)
didn't sit,すわらなかった (suwaranakatta)
won't sit,すわらない (suwaranai)
sitting,すわっている (suwatteiru)
was sitting,すわっていた (suwatteita)
will be sitting,すわっている (suwatteiru)
not sitting,すわっていない (suwatteinai)
was not sitting,すわっていなかった (suwatteinakatta)
will not be sitting,すわっていない (suwatteinai)
have sat,すわった (suwatta)
had sat,すわった (suwatta)
will have sat,すわる (suwaru)
have not sat,すわらなかった (suwaranakatta)
had not sat,すわらなかった (suwaranakatta)
will have not sat,すわらない (suwaranai)
have being sitting,すわっている (suwatteiru)
had been sitting,すわっていた (suwatteita)
will have been sitting,すわっている (suwatteiru)
have not being sitting,すわっていない (suwatteinai)
had not been sitting,すわっていなかった (suwatteinakatta)
will have not been sitting,すわっていない (suwatteinai)
wash,あらう (arau)
washed,あらった (aratta)
will wash,あらう (arau)
doesn't wash,あらわない (arawanai)
didn't wash,あらわなかった (arawanakatta)
won't wash,あらわない (arawanai)
washing,あらっている (aratteiru)
was washing,あらっていた (aratteita)
will be washing,あらっている (aratteiru)
not washing,あらっていない (aratteinai)
was not washing,あらっていなかった (aratteinakatta)
will not be washing,あらっていない (aratteinai)
have washed,あらった (aratta)
had washed,あらった (aratta)
will have washed,あらう (arau)
have not washed,あらわなかった (arawanakatta)
had not washed,あらわなかった (arawanakatta)
will have not washed,あらわない (arawanai)
have being washing,あらっている (aratteiru)
had been washing,あらっていた (aratteita)
will have been washing,あらっている (aratteiru)
have not being washing,あらっていない (aratteinai)
had not been washing,あらっていなかった (aratteinakatta)
will have not been washing,あらっていない (aratteinai)
give,あげる (ageru)
gave,あげた (ageta)
will give,あげる (ageru)
doesn't give,あげない (agenai)
didn't give,あげなかった (agenakatta)
won't give,あげない (agenai)
giving,あげている (ageteiru)
was giving,あげていた (ageteita)
will be giving,あげている (ageteiru)
not giving,あげていない (ageteinai)
was not giving,あげていなかった (ageteinakatta)
will not be giving,あげていない (ageteinai)
have gave,あげた (ageta)
had gave,あげた (ageta)
will have gave,あげる (ageru)
have not gave,あげなかった (agenakatta)
had not gave,あげなかった (agenakatta)
will have not gave,あげない (agenai)
have being giving,あげている (ageteiru)
had been giving,あげていた (ageteita)
will have been giving,あげている (ageteiru)
have not being giving,あげていない (ageteinai)
had not been giving,あげていなかった (ageteinakatta)
will have not been giving,あげていない (ageteinai)
break,こわれる (kowareru)
broke,こわれた (kowareta)
will break,こわれる (kowareru)
doesn't break,こわれない (kowarenai)
didn't break,こわれなかった (kowarenakatta)
won't break,こわれない (kowarenai)
breaking,こわれている (kowareteiru)
was breaking,こわれていた (kowareteita)
will be breaking,こわれている (kowareteiru)
not breaking,こわれていない (kowareteinai)
was not breaking,こわれていなかった (kowareteinakatta)
will not be breaking,こわれていない (kowareteinai)
have broke,こわれた (kowareta)
had broke,こわれた (kowareta)
will have broke,こわれる (kowareru)
have not broke,こわれなかった (kowarenakatta)
had not broke,こわれなかった (kowarenakatta)
will have not broke,こわれない (kowarenai)
have being breaking,こわれている (kowareteiru)
had been breaking,こわれていた (kowareteita)
will have been breaking,こわれている (kowareteiru)
have not being breaking,こわれていない (kowareteinai)
had not been breaking,こわれていなかった (kowareteinakatta)
will have not been breaking,こわれていない (kowareteinai)
sleep,ねる (neru)
slept,ねた (neta)
will sleep,ねる (neru)
doesn't sleep,ねない (nenai)
didn't sleep,ねなかった (nenakatta)
won't sleep,ねない (nenai)
sleeping,ねている (neteiru)
was sleeping,ねていた (neteita)
will be sleeping,ねている (neteiru)
not sleeping,ねていない (neteinai)
was not sleeping,ねていなかった (neteinakatta)
will not be sleeping,ねていない (neteinai)
have slept,ねた (neta)
had slept,ねた (neta)
will have slept,ねる (neru)
have not slept,ねなかった (nenakatta)
had not slept,ねなかった (nenakatta)
will have not slept,ねない (nenai)
have being sleeping,ねている (neteiru)
had been sleeping,ねていた (neteita)
will have been sleeping,ねている (neteiru)
have not being sleeping,ねていない (neteinai)
had not been sleeping,ねていなかった (neteinakatta)
will have not been sleeping,ねていない (neteinai)
wake,おきる (okiru)
waked,おきた (okita)
will wake,おきる (okiru)
doesn't wake,おきない (okinai)
didn't wake,おきなかった (okinakatta)
won't wake,おきない (okinai)
waking,おきている (okiteiru)
was waking,おきていた (okiteita)
will be waking,おきている (okiteiru)
not waking,おきていない (okiteinai)
was not waking,おきていなかった (okiteinakatta)
will not be waking,おきていない (okiteinai)
have waked,おきた (okita)
had waked,おきた (okita)
will have waked,おきる (okiru)
have not waked,おきなかった (okinakatta)
had not waked,おきなかった (okinakatta)
will have not waked,おきない (okinai)
have being waking,おきている (okiteiru)
had been waking,おきていた (okiteita)
will have been waking,おきている (okiteiru)
have not being waking,おきていない (okiteinai)
had not been waking,おきていなかった (okiteinakatta)
will have not been waking,おきていない (okiteinai)
grill,やく (yaku)
grilled,やいた (yaita)
will grill,やく (yaku)
doesn't grill,やかない (yakanai)
didn't grill,やかなかった (yakanakatta)
won't grill,やかない (yakanai)
grilling,やいている (yaiteiru)
was grilling,やいていた (yaiteita)
will be grilling,やいている (yaiteiru)
not grilling,やいていない (yaiteinai)
was not grilling,やいていなかった (yaiteinakatta)
will not be grilling,やいていない (yaiteinai)
have grilled,やいた (yaita)
had grilled,やいた (yaita)
will have grilled,やく (yaku)
have not grilled,やかなかった (yakanakatta)
had not grilled,やかなかった (yakanakatta)
will have not grilled,やかない (yakanai)
have being grilling,やいている (yaiteiru)
had been grilling,やいていた (yaiteita)
will have been grilling,やいている (yaiteiru)
have not being grilling,やいていない (yaiteinai)
had not been grilling,やいていなかった (yaiteinakatta)
will have not been grilling,やいていない (yaiteinai)
roast,やく (yaku)
roasted,やいた (yaita)
will roast,やく (yaku)
doesn't roast,やかない (yakanai)
didn't roast,やかなかった (yakanakatta)
won't roast,やかない (yakanai)
roasting,やいている (yaiteiru)
was roasting,やいていた (yaiteita)
will be roasting,やいている (yaiteiru)
not roasting,やいていない (yaiteinai)
was not roasting,やいていなかった (yaiteinakatta)
will not be roasting,やいていない (yaiteinai)
have roasted,やいた (yaita)
had roasted,やいた (yaita)
will have roasted,やく (yaku)
have not roasted,やかなかった (yakanakatta)
had not roasted,やかなかった (yakanakatta)
will have not roasted,やかない (yakanai)
have being roasting,やいている (yaiteiru)
had been roasting,やいていた (yaiteita)
will have been roasting,やいている (yaiteiru)
have not being roasting,やいていない (yaiteinai)
had not been roasting,やいていなかった (yaiteinakatta)
will have not been roasting,やいていない (yaiteinai)
repair,なおす (naosu)
repaired,なおした (naoshita)
will repair,なおす (naosu)
doesn't repair,なおさない (naosanai)
didn't repair,なおさなかった (naosanakatta)
won't repair,なおさない (naosanai)
repairing,なおしている (naoshiteiru)
was repairing,なおしていた (naoshiteita)
will be repairing,なおしている (naoshiteiru)
not repairing,なおしていない (naoshiteinai)
was not repairing,なおしていなかった (naoshiteinakatta)
will not be repairing,なおしていない (naoshiteinai)
have repaired,なおした (naoshita)
had repaired,なおした (naoshita)
will have repaired,なおす (naosu)
have not repaired,なおさなかった (naosanakatta)
had not repaired,なおさなかった (naosanakatta)
will have not repaired,なおさない (naosanai)
have being repairing,なおしている (naoshiteiru)
had been repairing,なおしていた (naoshiteita)
will have been repairing,なおしている (naoshiteiru)
have not being repairing,なおしていない (naoshiteinai)
had not been repairing,なおしていなかった (naoshiteinakatta)
will have not been repairing,なおしていない (naoshiteinai)
fix,なおす (naosu)
fixed,なおした (naoshita)
will fix,なおす (naosu)
doesn't fix,なおさない (naosanai)
didn't fix,なおさなかった (naosanakatta)
won't fix,なおさない (naosanai)
fixing,なおしている (naoshiteiru)
was fixing,なおしていた (naoshiteita)
will be fixing,なおしている (naoshiteiru)
not fixing,なおしていない (naoshiteinai)
was not fixing,なおしていなかった (naoshiteinakatta)
will not be fixing,なおしていない (naoshiteinai)
have fixed,なおした (naoshita)
had fixed,なおした (naoshita)
will have fixed,なおす (naosu)
have not fixed,なおさなかった (naosanakatta)
had not fixed,なおさなかった (naosanakatta)
will have not fixed,なおさない (naosanai)
have being fixing,なおしている (naoshiteiru)
had been fixing,なおしていた (naoshiteita)
will have been fixing,なおしている (naoshiteiru)
have not being fixing,なおしていない (naoshiteinai)
had not been fixing,なおしていなかった (naoshiteinakatta)
will have not been fixing,なおしていない (naoshiteinai)
receive,うける (ukeru)
received,うけた (uketa)
will receive,うける (ukeru)
doesn't receive,うけない (ukenai)
didn't receive,うけなかった (ukenakatta)
won't receive,うけない (ukenai)
receiving,うけている (uketeiru)
was receiving,うけていた (uketeita)
will be receiving,うけている (uketeiru)
not receiving,うけていない (uketeinai)
was not receiving,うけていなかった (uketeinakatta)
will not be receiving,うけていない (uketeinai)
have received,うけた (uketa)
had received,うけた (uketa)
will have received,うける (ukeru)
have not received,うけなかった (ukenakatta)
had not received,うけなかった (ukenakatta)
will have not received,うけない (ukenai)
have being receiving,うけている (uketeiru)
had been receiving,うけていた (uketeita)
will have been receiving,うけている (uketeiru)
have not being receiving,うけていない (uketeinai)
had not been receiving,うけていなかった (uketeinakatta)
will have not been receiving,うけていない (uketeinai)
borrow,かりる (kariru)
borrowed,かりた (karita)
will borrow,かりる (kariru)
doesn't borrow,かりない (karinai)
didn't borrow,かりなかった (karinakatta)
won't borrow,かりない (karinai)
borrowing,かりている (kariteiru)
was borrowing,かりていた (kariteita)
will be borrowing,かりている (kariteiru)
not borrowing,かりていない (kariteinai)
was not borrowing,かりていなかった (kariteinakatta)
will not be borrowing,かりていない (kariteinai)
have borrowed,かりた (karita)
had borrowed,かりた (karita)
will have borrowed,かりる (kariru)
have not borrowed,かりなかった (karinakatta)
had not borrowed,かりなかった (karinakatta)
will have not borrowed,かりない (karinai)
have being borrowing,かりている (kariteiru)
had been borrowing,かりていた (kariteita)
will have been borrowing,かりている (kariteiru)
have not being borrowing,かりていない (kariteinai)
had not been borrowing,かりていなかった (kariteinakatta)
will have not been borrowing,かりていない (kariteinai)
rise,あがる (agaru)
rose,あがった (agatta)
will rise,あがる (agaru)
doesn't rise,あがらない (agaranai)
didn't rise,あがらなかった (agaranakatta)
won't rise,あがらない (agaranai)
rising,あがっている (agatteiru)
was rising,あがっていた (agatteita)
will be rising,あがっている (agatteiru)
not rising,あがっていない (agatteinai)
was not rising,あがっていなかった (agatteinakatta)
will not be rising,あがっていない (agatteinai)
have rose,あがった (agatta)
had rose,あがった (agatta)
will have rose,あがる (agaru)
have not rose,あがらなかった (agaranakatta)
had not rose,あがらなかった (agaranakatta)
will have not rose,あがらない (agaranai)
have being rising,あがっている (agatteiru)
had been rising,あがっていた (agatteita)
will have been rising,あがっている (agatteiru)
have not being rising,あがっていない (agatteinai)
had not been rising,あがっていなかった (agatteinakatta)
will have not been rising,あがっていない (agatteinai)
wear,きる (kiru)
wore,きった (kitta)
will wear,きる (kiru)
doesn't wear,きらない (kiranai)
didn't wear,きらなかった (kiranakatta)
won't wear,きらない (kiranai)
wearing,きっている (kitteiru)
was wearing,きっていた (kitteita)
will be wearing,きっている (kitteiru)
not wearing,きっていない (kitteinai)
was not wearing,きっていなかった (kitteinakatta)
will not be wearing,きっていない (kitteinai)
have wore,きった (kitta)
had wore,きった (kitta)
will have wore,きる (kiru)
have not wore,きらなかった (kiranakatta)
had not wore,きらなかった (kiranakatta)
will have not wore,きらない (kiranai)
have being wearing,きっている (kitteiru)
had been wearing,きっていた (kitteita)
will have been wearing,きっている (kitteiru)
have not being wearing,きっていない (kitteinai)
had not been wearing,きっていなかった (kitteinakatta)
will have not been wearing,きっていない (kitteinai)
swim,およぐ (oyogu)
swam,およいだ (oyoida)
will swim,およぐ (oyogu)
doesn't swim,およがない (oyoganai)
didn't swim,およがなかった (oyoganakatta)
won't swim,およがない (oyoganai)
swiming,およいでいる (oyoideiru)
was swiming,およいでいた (oyoideita)
will be swiming,およいでいる (oyoideiru)
not swiming,およいでいない (oyoideinai)
was not swiming,およいでいなかった (oyoideinakatta)
will not be swiming,およいでいない (oyoideinai)
have swam,およいだ (oyoida)
had swam,およいだ (oyoida)
will have swam,およぐ (oyogu)
have not swam,およがなかった (oyoganakatta)
had not swam,およがなかった (oyoganakatta)
will have not swam,およがない (oyoganai)
have being swiming,およいでいる (oyoideiru)
had been swiming,およいでいた (oyoideita)
will have been swiming,およいでいる (oyoideiru)
have not being swiming,およいでいない (oyoideinai)
had not been swiming,およいでいなかった (oyoideinakatta)
will have not been swiming,およいでいない (oyoideinai)
live,いきる (ikiru)
lived,いきた (ikita)
will live,いきる (ikiru)
doesn't live,いきない (ikinai)
didn't live,いきなかった (ikinakatta)
won't live,いきない (ikinai)
living,いきている (ikiteiru)
was living,いきていた (ikiteita)
will be living,いきている (ikiteiru)
not living,いきていない (ikiteinai)
was not living,いきていなかった (ikiteinakatta)
will not be living,いきていない (ikiteinai)
have lived,いきた (ikita)
had lived,いきた (ikita)
will have lived,いきる (ikiru)
have not lived,いきなかった (ikinakatta)
had not lived,いきなかった (ikinakatta)
will have not lived,いきない (ikinai)
have being living,いきている (ikiteiru)
had been living,いきていた (ikiteita)
will have been living,いきている (ikiteiru)
have not being living,いきていない (ikiteinai)
had not been living,いきていなかった (ikiteinakatta)
will have not been living,いきていない (ikiteinai)
listen,きく (kiku)
listened,きいた (kiita)
will listen,きく (kiku)
doesn't listen,きかない (kikanai)
didn't listen,きかなかった (kikanakatta)
won't listen,きかない (kikanai)
listening,きいている (kiiteiru)
was listening,きいていた (kiiteita)
will be listening,きいている (kiiteiru)
not listening,きいていない (kiiteinai)
was not listening,きいていなかった (kiiteinakatta)
will not be listening,きいていない (kiiteinai)
have listened,きいた (kiita)
had listened,きいた (kiita)
will have listened,きく (kiku)
have not listened,きかなかった (kikanakatta)
had not listened,きかなかった (kikanakatta)
will have not listened,きかない (kikanai)
have being listening,きいている (kiiteiru)
had been listening,きいていた (kiiteita)
will have been listening,きいている (kiiteiru)
have not being listening,きいていない (kiiteinai)
had not been listening,きいていなかった (kiiteinakatta)
will have not been listening,きいていない (kiiteinai)
mix,まぜる (mazeru)
mixed,まぜた (mazeta)
will mix,まぜる (mazeru)
doesn't mix,まぜない (mazenai)
didn't mix,まぜなかった (mazenakatta)
won't mix,まぜない (mazenai)
mixing,まぜている (mazeteiru)
was mixing,まぜていた (mazeteita)
will be mixing,まぜている (mazeteiru)
not mixing,まぜていない (mazeteinai)
was not mixing,まぜていなかった (mazeteinakatta)
will not be mixing,まぜていない (mazeteinai)
have mixed,まぜた (mazeta)
had mixed,まぜた (mazeta)
will have mixed,まぜる (mazeru)
have not mixed,まぜなかった (mazenakatta)
had not mixed,まぜなかった (mazenakatta)
will have not mixed,まぜない (mazenai)
have being mixing,まぜている (mazeteiru)
had been mixing,まぜていた (mazeteita)
will have been mixing,まぜている (mazeteiru)
have not being mixing,まぜていない (mazeteinai)
had not been mixing,まぜていなかった (mazeteinakatta)
will have not been mixing,まぜていない (mazeteinai)
run,はしる (hashiru)
ran,はしった (hashitta)
will run,はしる (hashiru)
doesn't run,はしらない (hashiranai)
didn't run,はしらなかった (hashiranakatta)
won't run,はしらない (hashiranai)
runing,はしっている (hashitteiru)
was runing,はしっていた (hashitteita)
will be runing,はしっている (hashitteiru)
not runing,はしっていない (hashitteinai)
was not runing,はしっていなかった (hashitteinakatta)
will not be runing,はしっていない (hashitteinai)
have ran,はしった (hashitta)
had ran,はしった (hashitta)
will have ran,はしる (hashiru)
have not ran,はしらなかった (hashiranakatta)
had not ran,はしらなかった (hashiranakatta)
will have not ran,はしらない (hashiranai)
have being runing,はしっている (hashitteiru)
had been runing,はしっていた (hashitteita)
will have been runing,はしっている (hashitteiru)
have not being runing,はしっていない (hashitteinai)
had not been runing,はしっていなかった (hashitteinakatta)
will have not been runing,はしっていない (hashitteinai)
dance,おどる (odoru)
danced,おどった (odotta)
will dance,おどる (odoru)
doesn't dance,おどらない (odoranai)
didn't dance,おどらなかった (odoranakatta)
won't dance,おどらない (odoranai)
dancing,おどっている (odotteiru)
was dancing,おどっていた (odotteita)
will be dancing,おどっている (odotteiru)
not dancing,おどっていない (odotteinai)
was not dancing,おどっていなかった (odotteinakatta)
will not be dancing,おどっていない (odotteinai)
have danced,おどった (odotta)
had danced,おどった (odotta)
will have danced,おどる (odoru)
have not danced,おどらなかった (odoranakatta)
had not danced,おどらなかった (odoranakatta)
will have not danced,おどらない (odoranai)
have being dancing,おどっている (odotteiru)
had been dancing,おどっていた (odotteita)
will have been dancing,おどっている (odotteiru)
have not being dancing,おどっていない (odotteinai)
had not been dancing,おどっていなかった (odotteinakatta)
will have not been dancing,おどっていない (odotteinai)
anger,おこる (okoru)
angered,おこった (okotta)
will anger,おこる (okoru)
doesn't anger,おこらない (okoranai)
didn't anger,おこらなかった (okoranakatta)
won't anger,おこらない (okoranai)
angering,おこっている (okotteiru)
was angering,おこっていた (okotteita)
will be angering,おこっている (okotteiru)
not angering,おこっていない (okotteinai)
was not angering,おこっていなかった (okotteinakatta)
will not be angering,おこっていない (okotteinai)
have angered,おこった (okotta)
had angered,おこった (okotta)
will have angered,おこる (okoru)
have not angered,おこらなかった (okoranakatta)
had not angered,おこらなかった (okoranakatta)
will have not angered,おこらない (okoranai)
have being angering,おこっている (okotteiru)
had been angering,おこっていた (okotteita)
will have been angering,おこっている (okotteiru)
have not being angering,おこっていない (okotteinai)
had not been angering,おこっていなかった (okotteinakatta)
will have not been angering,おこっていない (okotteinai)
play,あそぶ (asobu)
plaied,あそんだ (asonnda)
will play,あそぶ (asobu)
doesn't play,あそばない (asobanai)
didn't play,あそばなかった (asobanakatta)
won't play,あそばない (asobanai)
playing,あそんでいる (asonndeiru)
was playing,あそんでいた (asonndeita)
will be playing,あそんでいる (asonndeiru)
not playing,あそんでいない (asonndeinai)
was not playing,あそんでいなかった (asonndeinakatta)
will not be playing,あそんでいない (asonndeinai)
have plaied,あそんだ (asonnda)
had plaied,あそんだ (asonnda)
will have plaied,あそぶ (asobu)
have not plaied,あそばなかった (asobanakatta)
had not plaied,あそばなかった (asobanakatta)
will have not plaied,あそばない (asobanai)
have being playing,あそんでいる (asonndeiru)
had been playing,あそんでいた (asonndeita)
will have been playing,あそんでいる (asonndeiru)
have not being playing,あそんでいない (asonndeinai)
had not been playing,あそんでいなかった (asonndeinakatta)
will have not been playing,あそんでいない (asonndeinai)
scowl,にらむ (niramu)
scowled,にらんだ (nirannda)
will scowl,にらむ (niramu)
doesn't scowl,にらまない (niramanai)
didn't scowl,にらまなかった (niramanakatta)
won't scowl,にらまない (niramanai)
scowling,にらんでいる (niranndeiru)
was scowling,にらんでいた (niranndeita)
will be scowling,にらんでいる (niranndeiru)
not scowling,にらんでいない (niranndeinai)
was not scowling,にらんでいなかった (niranndeinakatta)
will not be scowling,にらんでいない (niranndeinai)
have scowled,にらんだ (nirannda)
had scowled,にらんだ (nirannda)
will have scowled,にらむ (niramu)
have not scowled,にらまなかった (niramanakatta)
had not scowled,にらまなかった (niramanakatta)
will have not scowled,にらまない (niramanai)
have being scowling,にらんでいる (niranndeiru)
had been scowling,にらんでいた (niranndeita)
will have been scowling,にらんでいる (niranndeiru)
have not being scowling,にらんでいない (niranndeinai)
had not been scowling,にらんでいなかった (niranndeinakatta)
will have not been scowling,にらんでいない (niranndeinai)
want,ほしがる (hoshigaru)
wanted,ほしがった (hoshigatta)
will want,ほしがる (hoshigaru)
doesn't want,ほしがらない (hoshigaranai)
didn't want,ほしがらなかった (hoshigaranakatta)
won't want,ほしがらない (hoshigaranai)
wanting,ほしがっている (hoshigatteiru)
was wanting,ほしがっていた (hoshigatteita)
will be wanting,ほしがっている (hoshigatteiru)
not wanting,ほしがっていない (hoshigatteinai)
was not wanting,ほしがっていなかった (hoshigatteinakatta)
will not be wanting,ほしがっていない (hoshigatteinai)
have wanted,ほしがった (hoshigatta)
had wanted,ほしがった (hoshigatta)
will have wanted,ほしがる (hoshigaru)
have not wanted,ほしがらなかった (hoshigaranakatta)
had not wanted,ほしがらなかった (hoshigaranakatta)
will have not wanted,ほしがらない (hoshigaranai)
have being wanting,ほしがっている (hoshigatteiru)
had been wanting,ほしがっていた (hoshigatteita)
will have been wanting,ほしがっている (hoshigatteiru)
have not being wanting,ほしがっていない (hoshigatteinai)
had not been wanting,ほしがっていなかった (hoshigatteinakatta)
will have not been wanting,ほしがっていない (hoshigatteinai)
stab,さす (sasu)
stabed,さした (sashita)
will stab,さす (sasu)
doesn't stab,ささない (sasanai)
didn't stab,ささなかった (sasanakatta)
won't stab,ささない (sasanai)
stabing,さしている (sashiteiru)
was stabing,さしていた (sashiteita)
will be stabing,さしている (sashiteiru)
not stabing,さしていない (sashiteinai)
was not stabing,さしていなかった (sashiteinakatta)
will not be stabing,さしていない (sashiteinai)
have stabed,さした (sashita)
had stabed,さした (sashita)
will have stabed,さす (sasu)
have not stabed,ささなかった (sasanakatta)
had not stabed,ささなかった (sasanakatta)
will have not stabed,ささない (sasanai)
have being stabing,さしている (sashiteiru)
had been stabing,さしていた (sashiteita)
will have been stabing,さしている (sashiteiru)
have not being stabing,さしていない (sashiteinai)
had not been stabing,さしていなかった (sashiteinakatta)
will have not been stabing,さしていない (sashiteinai)
search,さがす (sagasu)
searched,さがした (sagashita)
will search,さがす (sagasu)
doesn't search,さがさない (sagasanai)
didn't search,さがさなかった (sagasanakatta)
won't search,さがさない (sagasanai)
searching,さがしている (sagashiteiru)
was searching,さがしていた (sagashiteita)
will be searching,さがしている (sagashiteiru)
not searching,さがしていない (sagashiteinai)
was not searching,さがしていなかった (sagashiteinakatta)
will not be searching,さがしていない (sagashiteinai)
have searched,さがした (sagashita)
had searched,さがした (sagashita)
will have searched,さがす (sagasu)
have not searched,さがさなかった (sagasanakatta)
had not searched,さがさなかった (sagasanakatta)
will have not searched,さがさない (sagasanai)
have being searching,さがしている (sagashiteiru)
had been searching,さがしていた (sagashiteita)
will have been searching,さがしている (sagashiteiru)
have not being searching,さがしていない (sagashiteinai)
had not been searching,さがしていなかった (sagashiteinakatta)
will have not been searching,さがしていない (sagashiteinai)
find,みつける (mitsukeru)
finded,みつけた (mitsuketa)
will find,みつける (mitsukeru)
doesn't find,みつけない (mitsukenai)
didn't find,みつけなかった (mitsukenakatta)
won't find,みつけない (mitsukenai)
finding,みつけている (mitsuketeiru)
was finding,みつけていた (mitsuketeita)
will be finding,みつけている (mitsuketeiru)
not finding,みつけていない (mitsuketeinai)
was not finding,みつけていなかった (mitsuketeinakatta)
will not be finding,みつけていない (mitsuketeinai)
have finded,みつけた (mitsuketa)
had finded,みつけた (mitsuketa)
will have finded,みつける (mitsukeru)
have not finded,みつけなかった (mitsukenakatta)
had not finded,みつけなかった (mitsukenakatta)
will have not finded,みつけない (mitsukenai)
have being finding,みつけている (mitsuketeiru)
had been finding,みつけていた (mitsuketeita)
will have been finding,みつけている (mitsuketeiru)
have not being finding,みつけていない (mitsuketeinai)
had not been finding,みつけていなかった (mitsuketeinakatta)
will have not been finding,みつけていない (mitsuketeinai)
throw,なげる (nageru)
threw,なげた (nageta)
will throw,なげる (nageru)
doesn't throw,なげない (nagenai)
didn't throw,なげなかった (nagenakatta)
won't throw,なげない (nagenai)
throwing,なげている (nageteiru)
was throwing,なげていた (nageteita)
will be throwing,なげている (nageteiru)
not throwing,なげていない (nageteinai)
was not throwing,なげていなかった (nageteinakatta)
will not be throwing,なげていない (nageteinai)
have threw,なげた (nageta)
had threw,なげた (nageta)
will have threw,なげる (nageru)
have not threw,なげなかった (nagenakatta)
had not threw,なげなかった (nagenakatta)
will have not threw,なげない (nagenai)
have being throwing,なげている (nageteiru)
had been throwing,なげていた (nageteita)
will have been throwing,なげている (nageteiru)
have not being throwing,なげていない (nageteinai)
had not been throwing,なげていなかった (nageteinakatta)
will have not been throwing,なげていない (nageteinai)
